policy,condition,seed,cell,episode,success,failure_mode,frames,duration_s,n_releases,n_kept,nearest_release_deg,max_travel_deg,n_rel_12,n_rel_11,n_rel_10,n_rel_9,n_rel_8
clean-seed2000,clean,2000,different_object,1,1,success,831,27.667,1,1,2.502792741910728,47.26848670377571,1,1,1,1,1
clean-seed2000,clean,2000,different_object,2,1,success,742,24.7,1,1,2.03681400154122,47.36549912026609,1,1,1,1,1
clean-seed2000,clean,2000,different_object,3,0,no_departure,1151,38.333,0,0,,,0,0,0,0,0
clean-seed2000,clean,2000,different_object,4,1,success,1151,38.333,1,1,2.4923338112529585,46.82214491780154,1,1,1,1,1
clean-seed2000,clean,2000,different_object,5,1,success,757,25.2,1,1,2.6767138493303015,46.9625182045695,1,1,1,1,1
clean-seed2000,clean,2000,different_object,6,1,success,464,15.433,1,1,4.359726036997419,44.78746226805917,1,1,1,1,1
clean-seed2000,clean,2000,different_object,7,1,success,1151,38.333,1,1,2.6151760414435508,46.97378403421937,1,1,1,1,1
clean-seed2000,clean,2000,different_object,8,1,success,774,25.767,1,1,2.7193365698572656,47.35354579820142,1,1,1,1,2
clean-seed2000,clean,2000,different_object,9,0,no_departure,1151,38.333,0,0,,,0,0,0,0,0
clean-seed2000,clean,2000,different_object,10,1,success,891,29.667,1,1,3.137619619354826,45.7644613571109,1,1,1,1,1
clean-seed2000,clean,2000,different_object,11,1,success,601,20.0,1,1,3.1442521119670666,46.51442512212815,1,2,2,2,2
clean-seed2000,clean,2000,different_object,12,0,timeout_other,1151,38.333,0,0,,,0,0,0,0,0
clean-seed2000,clean,2000,different_object,13,1,success,1150,38.3,1,1,4.2929542408053685,44.55562354307393,1,1,1,1,1
clean-seed2000,clean,2000,different_object,14,1,success,889,29.6,1,1,1.2703051888046666,48.20581024373129,1,1,1,1,2
clean-seed2000,clean,2000,different_object,15,1,success,1101,36.667,1,1,2.6085417396407387,46.94025430547341,1,1,1,1,1
clean-seed2000,clean,2000,distractors,1,0,grasp_drop,449,14.933,1,0,44.70385607897036,5.090354857130748,1,1,1,1,2
clean-seed2000,clean,2000,distractors,2,1,success,483,16.067,1,1,3.42314788355473,46.9070339483141,1,1,1,1,1
clean-seed2000,clean,2000,distractors,3,0,contact_no_grasp,1149,38.267,8,0,44.13102292543546,5.05238175635651,8,8,8,8,8
