policy,in_distribution,reduced_lighting,different_object,distractors,new_positions
clean,0.896,0.607,0.247,0.526,0.754
clean-seed2000,0.711,0.844,0.323,0.745,0.759
color,0.797,1.072,1.537,0.963,1.129
color-seed2000,1.252,0.697,0.436,0.607,0.892
density,0.593,,,,47.986
density10,2.001,,,2.822,77.121
density10-seed2000,0.953,,,9.163,93.886
density25,0.531,,,4.212,63.232
density25-fixedstep,3.69,,,4.629,39.981
density25-seed2000,1.413,,,1.513,54.797
density5,1.707,,,7.356,53.59
density5-seed2000,2.561,,,12.805,40.607
density50,0.858,,,6.63,30.837
density50-fixedstep,1.911,,,11.885,46.602
density50-seed2000,0.726,,,0.93,61.328
randomized,1.615,5.207,4.771,8.399,26.623
randomized-seed2000,1.707,1.624,1.371,8.352,28.99
recovery,1.209,0.911,0.783,1.56,1.669
recovery-seed2000,1.034,0.844,0.854,0.849,1.233
