cell,episode,frame,success,instance,released,pan,lift,elbow,wrist_flex,wrist_roll,grasp_x,grasp_y,policy,az,group,true_az,err,split,dist_in,cube_widths,near,frac_obs,frac_true
new_positions,1,463,0,E1,True,-57.62,20.63,-4.45,75.35,41.1,5.74,8.43,density10-seed2000,-50.99,new_positions:E1,-50.19,-0.79,extrapolation,11.72,0.16,T2,0.54,0.56
new_positions,2,469,0,E1,True,-79.26,11.77,-0.73,80.45,24.53,1.53,8.54,density10-seed2000,-71.51,new_positions:E1,-50.19,-21.32,extrapolation,11.72,4.36,T1,0.07,0.56
new_positions,3,407,0,E1,True,-80.75,14.59,-1.92,79.46,29.5,1.78,8.52,density10-seed2000,-72.93,new_positions:E1,-50.19,-22.73,extrapolation,11.72,4.65,T1,0.04,0.56
new_positions,4,370,0,E1,True,-26.04,-11.57,15.37,60.87,3.4,4.88,9.86,density10-seed2000,-21.03,new_positions:E1,-50.19,29.16,extrapolation,11.72,5.97,T2,1.23,0.56
new_positions,5,377,0,E1,True,-54.36,19.29,-7.31,83.77,32.3,5.7,8.35,density10-seed2000,-47.89,new_positions:E1,-50.19,2.3,extrapolation,11.72,0.47,T2,0.61,0.56
new_positions,6,172,0,E2,False,-66.09,7.06,1.97,58.64,10.03,1.52,10.59,density10-seed2000,-59.02,new_positions:E2,-60.95,1.93,interpolation,5.15,0.17,T1,0.36,0.31
new_positions,7,204,0,E2,True,-81.23,6.5,-4.58,77.28,15.01,-0.56,10.51,density10-seed2000,-73.38,new_positions:E2,-60.95,-12.44,interpolation,5.15,1.12,T1,0.03,0.31
new_positions,8,308,0,E2,True,-87.29,6.43,6.44,68.59,13.18,-0.35,8.9,density10-seed2000,-79.13,new_positions:E2,-60.95,-18.18,interpolation,5.15,1.64,T1,-0.11,0.31
new_positions,9,399,0,E2,True,-89.79,6.17,9.7,66.97,10.16,-0.44,8.35,density10-seed2000,-81.5,new_positions:E2,-60.95,-20.55,interpolation,5.15,1.85,T1,-0.16,0.31
new_positions,10,188,0,E2,True,-81.54,8.69,-5.13,73.56,8.93,-0.53,10.6,density10-seed2000,-73.67,new_positions:E2,-60.95,-12.73,interpolation,5.15,1.15,T1,0.02,0.31
new_positions,11,242,0,E3,True,-5.05,17.83,-9.46,77.08,-3.54,10.63,8.98,density10-seed2000,-1.12,new_positions:E3,5.71,-6.83,interpolation,10.05,1.2,T4,-0.39,0.12
new_positions,12,369,0,E3,True,-9.77,39.98,-37.7,57.16,4.86,10.02,14.0,density10-seed2000,-5.6,new_positions:E3,5.71,-11.31,interpolation,10.05,1.99,T3,-0.72,0.12
new_positions,13,535,0,E3,True,-9.91,55.25,-57.17,56.03,-1.05,10.28,16.08,density10-seed2000,-5.73,new_positions:E3,5.71,-11.44,interpolation,10.05,2.01,T3,-0.73,0.12
new_positions,14,523,0,E3,True,-10.24,49.82,-45.59,45.38,2.45,10.32,15.39,density10-seed2000,-6.04,new_positions:E3,5.71,-11.75,interpolation,10.05,2.06,T3,-0.75,0.12
new_positions,15,241,1,E3,True,-0.48,15.52,6.37,51.39,4.01,11.93,8.31,density10-seed2000,3.21,new_positions:E3,5.71,-2.5,interpolation,10.05,0.44,T4,-0.06,0.12
new_positions,16,355,0,E4,True,45.33,43.6,-38.01,57.06,-24.29,17.32,12.74,density10-seed2000,46.67,new_positions:E4,34.7,11.97,interpolation,7.91,1.65,T10,1.16,0.54
new_positions,17,404,0,E4,True,44.76,45.23,-37.98,53.99,-8.08,17.78,12.93,density10-seed2000,46.13,new_positions:E4,34.7,11.43,interpolation,7.91,1.58,T10,1.13,0.54
new_positions,18,278,0,E4,True,45.9,43.22,-35.68,58.52,-30.23,17.56,12.06,density10-seed2000,47.21,new_positions:E4,34.7,12.51,interpolation,7.91,1.73,T10,1.19,0.54
new_positions,19,339,0,E4,True,45.4,43.65,-38.86,57.65,-19.88,17.35,12.91,density10-seed2000,46.73,new_positions:E4,34.7,12.04,interpolation,7.91,1.66,T10,1.17,0.54
new_positions,20,417,0,E4,True,44.17,48.9,-39.49,53.09,1.91,18.38,12.87,density10-seed2000,45.57,new_positions:E4,34.7,10.87,interpolation,7.91,1.5,T10,1.11,0.54
new_positions,21,253,0,E5,True,42.31,42.76,-43.42,61.59,-15.08,16.45,13.77,density10-seed2000,43.8,new_positions:E5,32.2,11.61,extrapolation,15.95,3.23,T10,1.01,0.41
new_positions,22,388,0,E5,True,32.04,57.14,-58.2,53.65,21.17,16.4,16.07,density10-seed2000,34.06,new_positions:E5,32.2,1.86,extrapolation,15.95,0.52,T10,0.51,0.41
new_positions,23,482,0,E5,True,32.63,54.7,-52.69,51.32,13.62,16.46,15.35,density10-seed2000,34.62,new_positions:E5,32.2,2.42,extrapolation,15.95,0.68,T10,0.54,0.41
new_positions,24,303,0,E5,True,19.45,50.63,-47.16,54.65,8.07,14.67,14.48,density10-seed2000,22.12,new_positions:E5,32.2,-10.08,extrapolation,15.95,2.81,T6,-0.11,0.41
new_positions,25,671,0,E5,True,32.89,50.83,-48.63,49.6,11.57,16.16,15.19,density10-seed2000,34.87,new_positions:E5,32.2,2.67,extrapolation,15.95,0.74,T10,0.55,0.41
new_positions,1,313,0,E1,True,-67.74,12.29,-2.69,80.43,38.38,3.18,8.92,density10,-60.59,new_positions:E1,-50.19,-10.39,extrapolation,11.72,2.13,T1,0.32,0.56
new_positions,2,787,0,E1,True,-8.1,49.58,-41.58,37.93,-4.3,10.63,15.17,density10,-4.01,new_positions:E1,-50.19,46.18,extrapolation,11.72,9.45,T3,1.62,0.56
new_positions,3,631,0,E1,True,-66.82,14.09,-5.06,76.84,32.22,3.07,9.47,density10,-59.71,new_positions:E1,-50.19,-9.52,extrapolation,11.72,1.95,T1,0.34,0.56
new_positions,4,418,0,E1,True,-56.31,18.4,-2.76,77.8,41.8,5.81,8.15,density10,-49.74,new_positions:E1,-50.19,0.45,extrapolation,11.72,0.09,T2,0.57,0.56
new_positions,5,270,0,E1,True,-55.2,13.57,0.79,79.16,40.19,5.51,7.95,density10,-48.69,new_positions:E1,-50.19,1.5,extrapolation,11.72,0.31,T2,0.59,0.56
new_positions,6,705,0,E2,True,-85.09,10.93,1.15,71.58,20.29,0.39,9.14,density10,-77.04,new_positions:E2,-60.95,-16.1,interpolation,5.15,1.45,T1,-0.06,0.31
new_positions,8,667,0,E2,True,-87.65,11.05,6.74,68.83,19.93,0.68,8.13,density10,-79.47,new_positions:E2,-60.95,-18.53,interpolation,5.15,1.67,T1,-0.11,0.31
new_positions,9,564,0,E2,True,-88.01,14.33,-1.32,70.91,18.82,0.29,9.24,density10,-79.81,new_positions:E2,-60.95,-18.87,interpolation,5.15,1.7,T1,-0.12,0.31
new_positions,10,704,0,E2,True,-85.86,7.99,6.8,69.25,17.73,0.3,8.53,density10,-77.77,new_positions:E2,-60.95,-16.83,interpolation,5.15,1.52,T1,-0.08,0.31
new_positions,11,586,0,E3,True,-6.24,47.07,-41.58,43.45,-4.41,10.61,15.0,density10,-2.25,new_positions:E3,5.71,-7.96,interpolation,10.05,1.4,T4,-0.47,0.12
new_positions,12,469,0,E3,True,-9.48,51.24,-45.79,44.32,-1.54,10.54,15.27,density10,-5.32,new_positions:E3,5.71,-11.03,interpolation,10.05,1.94,T3,-0.7,0.12
new_positions,13,141,0,E3,True,3.35,12.89,1.91,59.31,15.34,11.91,9.03,density10,6.85,new_positions:E3,5.71,1.14,interpolation,10.05,0.2,T4,0.21,0.12
new_positions,14,464,0,E3,True,-12.42,45.28,-44.77,68.26,-0.36,10.13,13.64,density10,-8.11,new_positions:E3,5.71,-13.82,interpolation,10.05,2.43,T3,-0.91,0.12
new_positions,16,594,0,E4,True,45.11,50.83,-43.81,54.81,-2.92,18.3,13.33,density10,46.46,new_positions:E4,34.7,11.76,interpolation,7.91,1.63,T10,1.15,0.54
new_positions,17,546,0,E4,True,18.2,53.05,-51.08,53.34,11.71,14.49,15.16,density10,20.93,new_positions:E4,34.7,-13.76,interpolation,7.91,1.9,T6,-0.17,0.54
new_positions,18,526,0,E4,True,44.54,56.13,-55.03,57.72,7.12,18.13,14.86,density10,45.92,new_positions:E4,34.7,11.22,interpolation,7.91,1.55,T10,1.12,0.54
new_positions,19,765,0,E4,True,17.15,50.12,-44.88,49.83,10.01,14.41,14.55,density10,19.94,new_positions:E4,34.7,-14.76,interpolation,7.91,2.04,T7,-0.22,0.54
new_positions,20,643,0,E4,True,45.11,50.01,-49.93,60.34,12.13,17.89,14.45,density10,46.46,new_positions:E4,34.7,11.76,interpolation,7.91,1.63,T10,1.15,0.54
new_positions,21,240,0,E5,True,21.28,47.32,-44.47,52.3,19.93,14.77,14.71,density10,23.85,new_positions:E5,32.2,-8.34,extrapolation,15.95,2.32,T6,-0.02,0.41
new_positions,22,310,0,E5,True,15.88,51.55,-53.85,53.51,13.04,13.58,16.05,density10,18.73,new_positions:E5,32.2,-13.46,extrapolation,15.95,3.75,T7,-0.28,0.41
new_positions,23,328,0,E5,True,23.44,52.49,-49.35,56.27,12.62,15.43,14.52,density10,25.9,new_positions:E5,32.2,-6.29,extrapolation,15.95,1.75,T6,0.09,0.41
new_positions,24,294,0,E5,True,21.4,48.04,-42.68,54.1,12.8,15.08,13.94,density10,23.97,new_positions:E5,32.2,-8.23,extrapolation,15.95,2.29,T6,-0.01,0.41
new_positions,25,320,0,E5,True,18.06,51.58,-49.83,53.08,15.78,14.43,15.17,density10,20.8,new_positions:E5,32.2,-11.4,extrapolation,15.95,3.17,T7,-0.18,0.41
new_positions,1,215,0,E1,True,-21.77,-6.3,8.78,76.61,35.52,6.91,9.21,density25-fixedstep,-16.98,new_positions:E1,-50.19,33.21,extrapolation,11.72,6.8,T3,1.32,0.56
new_positions,2,353,0,E1,True,-0.09,49.75,-59.68,64.02,6.94,10.68,16.72,density25-fixedstep,3.58,new_positions:E1,-50.19,53.78,extrapolation,11.72,11.0,T4,1.79,0.56
new_positions,3,641,0,E1,True,-13.61,48.96,-56.13,52.49,-6.48,8.46,17.18,density25-fixedstep,-9.24,new_positions:E1,-50.19,40.95,extrapolation,11.72,8.38,T3,1.5,0.56
new_positions,4,393,0,E1,True,-20.87,40.0,-49.56,64.62,-0.4,7.24,16.02,density25-fixedstep,-16.13,new_positions:E1,-50.19,34.07,extrapolation,11.72,6.97,T3,1.34,0.56
new_positions,5,672,0,E1,True,-82.97,14.69,-1.02,71.78,17.07,1.06,8.97,density25-fixedstep,-75.03,new_positions:E1,-50.19,-24.84,extrapolation,11.72,5.08,T1,-0.01,0.56
new_positions,6,192,0,E2,True,-84.47,-2.09,8.37,78.47,18.76,-0.86,8.86,density25-fixedstep,-76.45,new_positions:E2,-60.95,-15.51,interpolation,5.15,1.4,T1,-0.05,0.31
new_positions,7,324,0,E2,True,-87.32,16.22,-4.15,74.6,10.54,0.36,9.14,density25-fixedstep,-79.16,new_positions:E2,-60.95,-18.21,interpolation,5.15,1.64,T1,-0.11,0.31
new_positions,8,196,0,E2,True,-72.88,5.76,-5.22,74.97,11.01,0.14,10.89,density25-fixedstep,-65.46,new_positions:E2,-60.95,-4.52,interpolation,5.15,0.41,T1,0.21,0.31
new_positions,9,174,0,E2,True,-86.08,8.6,-0.12,77.27,14.16,-0.25,9.19,density25-fixedstep,-77.98,new_positions:E2,-60.95,-17.04,interpolation,5.15,1.54,T1,-0.08,0.31
new_positions,10,281,0,E2,True,-87.36,12.01,1.67,73.04,11.17,0.24,8.64,density25-fixedstep,-79.2,new_positions:E2,-60.95,-18.25,interpolation,5.15,1.64,T1,-0.11,0.31
new_positions,11,332,0,E3,True,-11.05,33.03,-30.73,55.29,0.53,9.24,13.68,density25-fixedstep,-6.81,new_positions:E3,5.71,-12.52,interpolation,10.05,2.2,T3,-0.81,0.12
new_positions,12,412,0,E3,True,-13.65,53.62,-49.06,38.02,-24.91,9.3,16.09,density25-fixedstep,-9.28,new_positions:E3,5.71,-14.99,interpolation,10.05,2.63,T3,-0.99,0.12
