episode,settled_az,instance,success,policy,true_az,err,near
1,5.8,E1,0,randomized,-50.19,55.99,T4
2,5.25,E1,0,randomized,-50.19,55.44,T4
3,17.45,E1,0,randomized,-50.19,67.64,T7
4,-74.57,E2,0,randomized,-60.95,-13.62,T1
5,-70.76,E2,0,randomized,-60.95,-9.82,T1
6,-56.17,E2,0,randomized,-60.95,4.78,T1
7,0.7,E3,0,randomized,5.71,-5.02,T4
8,18.65,E3,0,randomized,5.71,12.94,T7
9,11.47,E3,0,randomized,5.71,5.76,T7
10,45.13,E4,0,randomized,34.7,10.43,T10
11,6.93,E4,0,randomized,34.7,-27.77,T4
12,36.1,E4,0,randomized,34.7,1.4,T10
13,16.61,E5,0,randomized,32.2,-15.58,T7
14,8.16,E5,0,randomized,32.2,-24.04,T4
15,7.09,E5,0,randomized,32.2,-25.11,T4
1,-3.51,E1,0,randomized-seed2000,-50.19,46.68,T3
2,5.57,E1,0,randomized-seed2000,-50.19,55.77,T4
3,6.19,E1,0,randomized-seed2000,-50.19,56.38,T4
4,2.02,E2,0,randomized-seed2000,-60.95,62.96,T4
5,-52.75,E2,0,randomized-seed2000,-60.95,8.19,T1
6,-67.17,E2,0,randomized-seed2000,-60.95,-6.22,T1
7,0.63,E3,0,randomized-seed2000,5.71,-5.08,T4
8,3.36,E3,0,randomized-seed2000,5.71,-2.35,T4
9,0.48,E3,0,randomized-seed2000,5.71,-5.23,T4
10,33.88,E4,0,randomized-seed2000,34.7,-0.81,T10
11,7.15,E4,0,randomized-seed2000,34.7,-27.54,T4
12,6.55,E4,0,randomized-seed2000,34.7,-28.14,T4
13,3.42,E5,0,randomized-seed2000,32.2,-28.78,T4
14,19.34,E5,0,randomized-seed2000,32.2,-12.86,T7
15,5.11,E5,0,randomized-seed2000,32.2,-27.09,T4
1,-27.77,E1,0,density,-50.19,22.43,T2
2,-26.18,E1,0,density,-50.19,24.01,T2
3,-30.82,E1,0,density,-50.19,19.38,T2
4,-29.56,E2,0,density,-60.95,31.38,T2
5,-30.1,E2,0,density,-60.95,30.84,T2
6,-15.02,E2,0,density,-60.95,45.92,T2
7,14.49,E3,0,density,5.71,8.78,T6
8,11.45,E3,0,density,5.71,5.74,T6
9,17.75,E3,0,density,5.71,12.04,T6
10,-28.0,E4,0,density,34.7,-62.69,T2
11,-28.93,E4,0,density,34.7,-63.63,T2
12,-29.4,E4,0,density,34.7,-64.09,T2
13,10.22,E5,0,density,32.2,-21.98,T6
14,7.99,E5,0,density,32.2,-24.2,T6
15,9.65,E5,0,density,32.2,-22.55,T6
1,-5.44,E1,0,density5,-50.19,44.75,T3
2,-4.79,E1,0,density5,-50.19,45.41,T3
3,-12.88,E1,0,density5,-50.19,37.32,T3
4,-6.36,E1,0,density5,-50.19,43.84,T3
5,-7.54,E1,0,density5,-50.19,42.66,T3
6,-75.14,E2,0,density5,-60.95,-14.2,T1
7,-76.55,E2,0,density5,-60.95,-15.61,T1
8,-76.94,E2,0,density5,-60.95,-15.99,T1
9,-77.07,E2,0,density5,-60.95,-16.13,T1
10,-77.99,E2,0,density5,-60.95,-17.04,T1
11,-3.39,E3,0,density5,5.71,-9.1,T3
12,-3.14,E3,0,density5,5.71,-8.85,T3
13,-2.07,E3,0,density5,5.71,-7.78,T4
14,-1.9,E3,0,density5,5.71,-7.61,T4
15,-3.86,E3,0,density5,5.71,-9.57,T3
16,25.14,E4,0,density5,34.7,-9.55,T6
17,22.35,E4,0,density5,34.7,-12.34,T6
18,25.45,E4,0,density5,34.7,-9.24,T6
19,27.55,E4,0,density5,34.7,-7.14,T6
20,27.87,E4,0,density5,34.7,-6.82,T6
21,19.25,E5,0,density5,32.2,-12.94,T7
22,21.74,E5,0,density5,32.2,-10.46,T6
23,18.83,E5,0,density5,32.2,-13.36,T7
24,18.65,E5,0,density5,32.2,-13.54,T7
25,18.23,E5,0,density5,32.2,-13.96,T7
1,-75.32,E1,0,density10,-50.19,-25.13,T1
2,-3.42,E1,0,density10,-50.19,46.77,T3
3,-73.89,E1,0,density10,-50.19,-23.7,T1
4,-73.86,E1,0,density10,-50.19,-23.66,T1
5,-73.6,E1,0,density10,-50.19,-23.41,T1
6,-78.76,E2,0,density10,-60.95,-17.81,T1
7,-77.76,E2,0,density10,-60.95,-16.81,T1
8,-78.09,E2,0,density10,-60.95,-17.14,T1
9,-78.24,E2,0,density10,-60.95,-17.29,T1
10,-77.54,E2,0,density10,-60.95,-16.59,T1
11,-1.47,E3,0,density10,5.71,-7.18,T4
12,-4.85,E3,0,density10,5.71,-10.56,T3
13,-4.47,E3,0,density10,5.71,-10.18,T3
14,-7.56,E3,0,density10,5.71,-13.27,T3
15,-4.42,E3,0,density10,5.71,-10.13,T3
16,27.2,E4,0,density10,34.7,-7.5,T6
17,18.92,E4,0,density10,34.7,-15.78,T7
18,23.4,E4,0,density10,34.7,-11.29,T6
19,18.62,E4,0,density10,34.7,-16.08,T7
20,28.25,E4,0,density10,34.7,-6.44,T6
21,18.25,E5,0,density10,32.2,-13.94,T7
22,17.93,E5,0,density10,32.2,-14.26,T7
23,17.79,E5,0,density10,32.2,-14.4,T7
24,12.82,E5,0,density10,32.2,-19.38,T7
25,12.41,E5,0,density10,32.2,-19.78,T7
1,-60.13,E1,0,density25,-50.19,-9.93,T1
2,-31.26,E1,0,density25,-50.19,18.93,T2
3,-72.54,E1,0,density25,-50.19,-22.34,T1
4,-54.0,E1,0,density25,-50.19,-3.8,T1
5,9.34,E1,0,density25,-50.19,59.53,T4
6,-72.83,E2,0,density25,-60.95,-11.89,T1
7,-72.77,E2,0,density25,-60.95,-11.83,T1
8,-71.21,E2,0,density25,-60.95,-10.26,T1
9,-71.52,E2,0,density25,-60.95,-10.57,T1
10,-72.9,E2,0,density25,-60.95,-11.96,T1
11,-2.14,E3,0,density25,5.71,-7.86,T4
12,-5.55,E3,0,density25,5.71,-11.26,T3
13,-0.61,E3,0,density25,5.71,-6.32,T4
14,-1.58,E3,0,density25,5.71,-7.29,T4
15,-2.44,E3,0,density25,5.71,-8.15,T4
16,20.24,E4,0,density25,34.7,-14.46,T7
17,22.38,E4,0,density25,34.7,-12.32,T6
18,45.15,E4,0,density25,34.7,10.45,T10
19,20.45,E4,0,density25,34.7,-14.25,T7
20,45.02,E4,0,density25,34.7,10.32,T10
21,19.35,E5,0,density25,32.2,-12.84,T7
22,20.52,E5,0,density25,32.2,-11.67,T7
23,20.14,E5,0,density25,32.2,-12.06,T7
24,21.67,E5,0,density25,32.2,-10.53,T6
25,20.87,E5,0,density25,32.2,-11.33,T7
1,20.46,E1,0,density50,-50.19,70.65,T7
2,19.52,E1,0,density50,-50.19,69.71,T7
3,20.96,E1,0,density50,-50.19,71.16,T6
4,-21.05,E1,0,density50,-50.19,29.14,T2
5,13.66,E1,0,density50,-50.19,63.85,T7
6,-75.68,E2,0,density50,-60.95,-14.74,T1
7,-74.85,E2,0,density50,-60.95,-13.91,T1
8,-74.88,E2,0,density50,-60.95,-13.94,T1
9,-75.88,E2,0,density50,-60.95,-14.94,T1
10,-75.27,E2,0,density50,-60.95,-14.32,T1
11,-3.93,E3,0,density50,5.71,-9.64,T3
12,-3.13,E3,0,density50,5.71,-8.84,T3
13,-3.36,E3,0,density50,5.71,-9.07,T3
14,-0.05,E3,0,density50,5.71,-5.76,T4
15,-0.49,E3,0,density50,5.71,-6.2,T4
16,20.89,E4,0,density50,34.7,-13.81,T6
17,24.62,E4,0,density50,34.7,-10.08,T6
18,22.4,E4,0,density50,34.7,-12.29,T6
19,23.64,E4,0,density50,34.7,-11.06,T6
20,20.66,E4,0,density50,34.7,-14.04,T7
21,10.24,E5,0,density50,32.2,-21.96,T4
22,14.33,E5,0,density50,32.2,-17.86,T7
23,9.93,E5,0,density50,32.2,-22.27,T4
24,18.27,E5,0,density50,32.2,-13.92,T7
25,14.86,E5,0,density50,32.2,-17.33,T7
1,-0.16,E1,0,density5-seed2000,-50.19,50.04,T4
2,-6.71,E1,0,density5-seed2000,-50.19,43.48,T3
3,-13.02,E1,0,density5-seed2000,-50.19,37.17,T3
4,-8.89,E1,0,density5-seed2000,-50.19,41.3,T3
5,-25.22,E1,0,density5-seed2000,-50.19,24.97,T2
6,-75.12,E2,0,density5-seed2000,-60.95,-14.18,T1
7,-76.15,E2,0,density5-seed2000,-60.95,-15.2,T1
8,-74.1,E2,0,density5-seed2000,-60.95,-13.16,T1
9,-76.47,E2,0,density5-seed2000,-60.95,-15.52,T1
10,-77.05,E2,0,density5-seed2000,-60.95,-16.11,T1
11,-4.04,E3,0,density5-seed2000,5.71,-9.75,T3
12,-3.47,E3,0,density5-seed2000,5.71,-9.18,T3
13,-4.14,E3,0,density5-seed2000,5.71,-9.86,T3
14,-4.47,E3,0,density5-seed2000,5.71,-10.18,T3
15,-3.86,E3,0,density5-seed2000,5.71,-9.57,T3
16,19.66,E4,0,density5-seed2000,34.7,-15.04,T7
17,19.26,E4,0,density5-seed2000,34.7,-15.43,T7
18,21.69,E4,0,density5-seed2000,34.7,-13.01,T6
19,17.87,E4,0,density5-seed2000,34.7,-16.82,T7
20,21.2,E4,0,density5-seed2000,34.7,-13.5,T6
21,2.0,E5,0,density5-seed2000,32.2,-30.2,T4
22,6.67,E5,0,density5-seed2000,32.2,-25.53,T4
23,10.54,E5,0,density5-seed2000,32.2,-21.66,T4
24,5.87,E5,0,density5-seed2000,32.2,-26.33,T4
25,11.01,E5,0,density5-seed2000,32.2,-21.18,T7
1,-69.6,E1,0,density10-seed2000,-50.19,-19.41,T1
2,-74.7,E1,0,density10-seed2000,-50.19,-24.51,T1
3,-72.65,E1,0,density10-seed2000,-50.19,-22.45,T1
4,-27.16,E1,0,density10-seed2000,-50.19,23.04,T2
5,-74.79,E1,0,density10-seed2000,-50.19,-24.6,T1
6,-75.64,E2,0,density10-seed2000,-60.95,-14.69,T1
