cell,episode,frame,success,instance,released,pan,lift,elbow,wrist_flex,wrist_roll,grasp_x,grasp_y,policy,az,group,target,true_az,err
in_distribution,1,207,1,-,True,24.21,20.65,1.62,53.08,24.62,16.05,8.37,density10-seed2000,26.63,in_distribution,T6,24.23,2.41
in_distribution,2,205,1,-,True,22.71,16.44,4.64,54.91,28.12,15.58,8.21,density10-seed2000,25.21,in_distribution,T6,24.23,0.98
in_distribution,3,185,1,-,True,24.24,20.03,1.01,57.25,24.19,16.02,8.19,density10-seed2000,26.66,in_distribution,T6,24.23,2.43
in_distribution,4,219,0,-,True,23.35,17.82,1.46,59.35,27.7,15.69,8.27,density10-seed2000,25.82,in_distribution,T6,24.23,1.59
in_distribution,5,177,1,-,True,22.27,14.69,8.85,51.94,29.55,15.63,7.84,density10-seed2000,24.79,in_distribution,T6,24.23,0.56
in_distribution,6,192,1,-,True,23.18,18.34,3.34,55.45,26.38,15.83,8.13,density10-seed2000,25.66,in_distribution,T6,24.23,1.43
in_distribution,7,196,1,-,True,22.99,19.68,3.73,53.32,24.24,15.98,8.02,density10-seed2000,25.48,in_distribution,T6,24.23,1.25
in_distribution,8,202,1,-,True,23.02,20.44,-1.03,64.42,26.69,16.02,7.91,density10-seed2000,25.5,in_distribution,T6,24.23,1.28
in_distribution,9,139,1,-,True,21.95,16.26,5.46,57.43,26.72,15.62,7.8,density10-seed2000,24.49,in_distribution,T6,24.23,0.26
in_distribution,10,214,1,-,True,22.55,14.82,7.06,52.51,25.78,15.41,8.14,density10-seed2000,25.06,in_distribution,T6,24.23,0.83
in_distribution,11,177,1,-,False,23.68,18.97,-2.04,59.1,26.89,15.48,8.9,density10-seed2000,26.13,in_distribution,T6,24.23,1.9
in_distribution,12,219,1,-,True,23.48,17.7,4.59,54.18,28.93,15.9,8.09,density10-seed2000,25.94,in_distribution,T6,24.23,1.71
in_distribution,13,205,1,-,True,22.55,18.66,5.96,53.21,32.12,16.17,7.76,density10-seed2000,25.06,in_distribution,T6,24.23,0.83
in_distribution,14,327,0,-,True,12.07,15.47,4.69,59.88,22.15,14.07,7.9,density10-seed2000,15.12,in_distribution,T6,24.23,-9.11
in_distribution,15,127,1,-,True,22.06,11.49,6.4,56.53,24.7,14.76,8.41,density10-seed2000,24.59,in_distribution,T6,24.23,0.37
spot_check,1,410,1,T1,True,-81.93,16.14,2.93,70.32,9.72,1.77,7.9,density10-seed2000,-74.04,spot_check:T1,T1,-74.48,0.43
spot_check,2,273,1,T1,True,-82.5,12.82,5.89,66.75,12.16,1.34,8.14,density10-seed2000,-74.59,spot_check:T1,T1,-74.48,-0.11
spot_check,3,220,1,T3,True,-12.39,42.64,-27.0,30.37,-13.07,10.11,13.66,density10-seed2000,-8.08,spot_check:T3,T3,-9.46,1.38
spot_check,4,168,1,T3,False,-12.27,50.24,-39.78,37.15,-18.84,10.11,14.64,density10-seed2000,-7.97,spot_check:T3,T3,-9.46,1.49
spot_check,5,283,1,T10,True,42.32,41.62,-37.61,63.34,43.17,18.25,12.97,density10-seed2000,43.81,spot_check:T10,T10,43.53,0.28
spot_check,6,284,1,T10,True,38.88,39.34,-30.64,60.36,38.73,18.03,12.03,density10-seed2000,40.55,spot_check:T10,T10,43.53,-2.98
in_distribution,1,187,1,-,True,23.62,19.56,-1.05,61.6,28.61,15.85,8.35,density10,26.07,in_distribution,T6,24.23,1.85
in_distribution,2,216,1,-,False,22.87,18.71,-1.43,63.13,26.25,15.55,8.4,density10,25.36,in_distribution,T6,24.23,1.13
in_distribution,3,167,1,-,True,23.43,18.22,-0.6,61.24,24.31,15.52,8.46,density10,25.89,in_distribution,T6,24.23,1.67
in_distribution,4,441,0,-,True,17.35,28.23,-18.15,64.38,21.48,14.47,10.59,density10,20.13,in_distribution,T6,24.23,-4.1
