condition,seed,eval_cell,successes,n,rate,ci_low,ci_high
density5,1000,in_distribution,13,15,0.8667,0.6212,0.9626
density5,1000,distractors,4,15,0.2667,0.109,0.5195
density5,1000,spot_check,4,6,0.6667,0.3,0.9032
density5,1000,new_positions,0,25,0.0,0.0,0.1332
density5,2000,in_distribution,15,15,1.0,0.7961,1.0
density5,2000,distractors,4,15,0.2667,0.109,0.5195
density5,2000,spot_check,4,6,0.6667,0.3,0.9032
density5,2000,new_positions,0,25,0.0,0.0,0.1332
density10,1000,in_distribution,13,15,0.8667,0.6212,0.9626
density10,1000,distractors,9,15,0.6,0.3575,0.8018
density10,1000,spot_check,6,6,1.0,0.6097,1.0
density10,1000,new_positions,0,25,0.0,0.0,0.1332
density10,2000,in_distribution,13,15,0.8667,0.6212,0.9626
density10,2000,distractors,5,15,0.3333,0.1518,0.5829
density10,2000,spot_check,6,6,1.0,0.6097,1.0
density10,2000,new_positions,1,25,0.04,0.0071,0.1954
density25,1000,in_distribution,15,15,1.0,0.7961,1.0
density25,1000,distractors,5,15,0.3333,0.1518,0.5829
density25,1000,spot_check,6,6,1.0,0.6097,1.0
density25,1000,new_positions,0,25,0.0,0.0,0.1332
density25,2000,in_distribution,15,15,1.0,0.7961,1.0
density25,2000,distractors,13,15,0.8667,0.6212,0.9626
density25,2000,spot_check,6,6,1.0,0.6097,1.0
density25,2000,new_positions,0,25,0.0,0.0,0.1332
density50,1000,in_distribution,14,15,0.9333,0.7018,0.9881
density50,1000,distractors,11,15,0.7333,0.4805,0.891
density50,1000,spot_check,6,6,1.0,0.6097,1.0
density50,1000,new_positions,0,25,0.0,0.0,0.1332
density50,2000,in_distribution,15,15,1.0,0.7961,1.0
density50,2000,distractors,12,15,0.8,0.5481,0.9295
density50,2000,spot_check,6,6,1.0,0.6097,1.0
density50,2000,new_positions,2,25,0.08,0.0222,0.2497
density25-fixedstep,1000,in_distribution,9,15,0.6,0.3575,0.8018
density25-fixedstep,1000,distractors,0,15,0.0,0.0,0.2039
density25-fixedstep,1000,spot_check,5,6,0.8333,0.4365,0.9699
density25-fixedstep,1000,new_positions,0,25,0.0,0.0,0.1332
density50-fixedstep,1000,in_distribution,8,15,0.5333,0.3012,0.7519
density50-fixedstep,1000,distractors,1,15,0.0667,0.0119,0.2982
density50-fixedstep,1000,spot_check,6,6,1.0,0.6097,1.0
density50-fixedstep,1000,new_positions,0,25,0.0,0.0,0.1332
