condition,seed,reference,eval_cell,sweep,august,difference,diff_ci_low,diff_ci_high
density5,1000,clean,in_distribution,13/15,15/15,-0.1333,-0.3788,0.092
density5,1000,clean,new_positions,0/15,0/15,0.0,-0.2039,0.2039
density5,1000,randomized,in_distribution,13/15,6/15,0.4667,0.1216,0.6901
density5,1000,randomized,new_positions,0/15,0/15,0.0,-0.2039,0.2039
density5,1000,density,in_distribution,13/15,15/15,-0.1333,-0.3788,0.092
density5,1000,density,new_positions,0/15,0/15,0.0,-0.2039,0.2039
density5,2000,clean,in_distribution,15/15,15/15,0.0,-0.2039,0.2039
density5,2000,clean,new_positions,0/15,0/15,0.0,-0.2039,0.2039
density5,2000,randomized,in_distribution,15/15,6/15,0.6,0.2832,0.8018
density5,2000,randomized,new_positions,0/15,0/15,0.0,-0.2039,0.2039
density10,1000,clean,in_distribution,13/15,15/15,-0.1333,-0.3788,0.092
density10,1000,clean,new_positions,0/15,0/15,0.0,-0.2039,0.2039
density10,1000,randomized,in_distribution,13/15,6/15,0.4667,0.1216,0.6901
density10,1000,randomized,new_positions,0/15,0/15,0.0,-0.2039,0.2039
density10,1000,density,in_distribution,13/15,15/15,-0.1333,-0.3788,0.092
density10,1000,density,new_positions,0/15,0/15,0.0,-0.2039,0.2039
density10,2000,clean,in_distribution,13/15,15/15,-0.1333,-0.3788,0.092
density10,2000,clean,new_positions,0/15,0/15,0.0,-0.2039,0.2039
density10,2000,randomized,in_distribution,13/15,6/15,0.4667,0.1216,0.6901
density10,2000,randomized,new_positions,0/15,0/15,0.0,-0.2039,0.2039
density25,1000,clean,in_distribution,15/15,15/15,0.0,-0.2039,0.2039
density25,1000,clean,new_positions,0/15,0/15,0.0,-0.2039,0.2039
density25,1000,randomized,in_distribution,15/15,6/15,0.6,0.2832,0.8018
density25,1000,randomized,new_positions,0/15,0/15,0.0,-0.2039,0.2039
density25,1000,density,in_distribution,15/15,15/15,0.0,-0.2039,0.2039
density25,1000,density,new_positions,0/15,0/15,0.0,-0.2039,0.2039
density25,2000,clean,in_distribution,15/15,15/15,0.0,-0.2039,0.2039
density25,2000,clean,new_positions,0/15,0/15,0.0,-0.2039,0.2039
density25,2000,randomized,in_distribution,15/15,6/15,0.6,0.2832,0.8018
density25,2000,randomized,new_positions,0/15,0/15,0.0,-0.2039,0.2039
density50,1000,clean,in_distribution,14/15,15/15,-0.0667,-0.2982,0.1445
density50,1000,clean,new_positions,0/15,0/15,0.0,-0.2039,0.2039
density50,1000,randomized,in_distribution,14/15,6/15,0.5333,0.1981,0.7424
density50,1000,randomized,new_positions,0/15,0/15,0.0,-0.2039,0.2039
density50,1000,density,in_distribution,14/15,15/15,-0.0667,-0.2982,0.1445
density50,1000,density,new_positions,0/15,0/15,0.0,-0.2039,0.2039
density50,2000,clean,in_distribution,15/15,15/15,0.0,-0.2039,0.2039
density50,2000,clean,new_positions,1/15,0/15,0.0667,-0.1445,0.2982
density50,2000,randomized,in_distribution,15/15,6/15,0.6,0.2832,0.8018
density50,2000,randomized,new_positions,1/15,0/15,0.0667,-0.1445,0.2982
density25-fixedstep,1000,clean,in_distribution,9/15,15/15,-0.4,-0.6425,-0.1132
density25-fixedstep,1000,clean,new_positions,0/15,0/15,0.0,-0.2039,0.2039
density25-fixedstep,1000,randomized,in_distribution,9/15,6/15,0.2,-0.143,0.4853
density25-fixedstep,1000,randomized,new_positions,0/15,0/15,0.0,-0.2039,0.2039
density25-fixedstep,1000,density,in_distribution,9/15,15/15,-0.4,-0.6425,-0.1132
density25-fixedstep,1000,density,new_positions,0/15,0/15,0.0,-0.2039,0.2039
density50-fixedstep,1000,clean,in_distribution,8/15,15/15,-0.4667,-0.6988,-0.1678
density50-fixedstep,1000,clean,new_positions,0/15,0/15,0.0,-0.2039,0.2039
density50-fixedstep,1000,randomized,in_distribution,8/15,6/15,0.1333,-0.2024,0.4308
density50-fixedstep,1000,randomized,new_positions,0/15,0/15,0.0,-0.2039,0.2039
density50-fixedstep,1000,density,in_distribution,8/15,15/15,-0.4667,-0.6988,-0.1678
density50-fixedstep,1000,density,new_positions,0/15,0/15,0.0,-0.2039,0.2039
