policy,condition,seed,cell,episode,success,failure_mode,regrasp,kind,frame,az,n_events
clean-seed2000,clean,2000,different_object,1,1,success,,delivery,708,-23.14,1
clean-seed2000,clean,2000,different_object,2,1,success,,delivery,608,-23.6,1
clean-seed2000,clean,2000,different_object,4,1,success,,delivery,1017,-23.15,1
clean-seed2000,clean,2000,different_object,5,1,success,,delivery,634,-22.96,1
clean-seed2000,clean,2000,different_object,6,1,success,,delivery,359,-21.28,1
clean-seed2000,clean,2000,different_object,7,1,success,,delivery,1089,-23.03,1
clean-seed2000,clean,2000,different_object,8,1,success,,delivery,642,-22.92,1
clean-seed2000,clean,2000,different_object,10,1,success,,delivery,770,-22.5,1
clean-seed2000,clean,2000,different_object,11,1,success,,delivery,477,-22.5,1
clean-seed2000,clean,2000,different_object,13,1,success,,delivery,1107,-21.35,1
clean-seed2000,clean,2000,different_object,14,1,success,,delivery,749,-24.37,1
clean-seed2000,clean,2000,different_object,15,1,success,,delivery,958,-23.03,1
clean-seed2000,clean,2000,distractors,2,1,success,,delivery,385,-22.22,1
clean-seed2000,clean,2000,distractors,5,1,success,,delivery,342,-22.11,1
clean-seed2000,clean,2000,distractors,6,1,success,,delivery,505,-22.88,1
clean-seed2000,clean,2000,distractors,7,1,success,,delivery,323,-23.79,1
clean-seed2000,clean,2000,distractors,8,1,success,,delivery,408,-22.39,1
clean-seed2000,clean,2000,distractors,9,1,success,,delivery,438,-20.6,1
clean-seed2000,clean,2000,distractors,11,1,success,,delivery,309,-21.14,1
clean-seed2000,clean,2000,distractors,12,1,success,,delivery,402,-21.5,1
clean-seed2000,clean,2000,distractors,13,1,success,,delivery,315,-22.98,1
clean-seed2000,clean,2000,distractors,14,1,success,,delivery,382,-22.35,1
clean-seed2000,clean,2000,in_distribution,1,1,success,,delivery,277,-22.31,1
clean-seed2000,clean,2000,in_distribution,2,1,success,,delivery,473,-23.01,1
clean-seed2000,clean,2000,in_distribution,3,1,success,,delivery,322,-23.07,1
clean-seed2000,clean,2000,in_distribution,4,1,success,,delivery,333,-22.75,1
clean-seed2000,clean,2000,in_distribution,5,1,success,,delivery,315,-23.19,1
clean-seed2000,clean,2000,in_distribution,6,1,success,,delivery,363,-23.1,1
clean-seed2000,clean,2000,in_distribution,7,1,success,,delivery,305,-22.41,1
clean-seed2000,clean,2000,in_distribution,8,1,success,,delivery,562,-22.83,1
clean-seed2000,clean,2000,in_distribution,9,1,success,,delivery,472,-21.74,1
clean-seed2000,clean,2000,in_distribution,10,1,success,,delivery,495,-21.26,1
clean-seed2000,clean,2000,in_distribution,11,1,success,,delivery,496,-22.5,1
clean-seed2000,clean,2000,in_distribution,12,1,success,,delivery,309,-22.82,1
clean-seed2000,clean,2000,in_distribution,13,1,success,,delivery,390,-22.91,1
clean-seed2000,clean,2000,in_distribution,14,1,success,,delivery,427,-22.55,1
clean-seed2000,clean,2000,in_distribution,15,1,success,,delivery,365,-24.3,1
clean-seed2000,clean,2000,near_1in,1,1,success,,delivery,395,-23.34,1
clean-seed2000,clean,2000,near_1in,3,1,success,,delivery,412,-23.63,1
clean-seed2000,clean,2000,near_1in,5,0,contact_no_grasp,,drop,834,3.49,1
clean-seed2000,clean,2000,near_1in,6,1,success,,delivery,373,-21.33,1
clean-seed2000,clean,2000,near_2in,4,0,timeout_other,,drop,683,4.07,2
clean-seed2000,clean,2000,near_2in,4,0,timeout_other,,drop,941,27.22,2
clean-seed2000,clean,2000,reduced_lighting,2,1,success,,delivery,450,-23.67,1
clean-seed2000,clean,2000,reduced_lighting,3,0,contact_no_grasp,,drop,436,13.17,1
clean-seed2000,clean,2000,reduced_lighting,4,1,success,,delivery,678,-22.4,1
clean-seed2000,clean,2000,reduced_lighting,7,1,success,,delivery,528,-21.51,1
clean-seed2000,clean,2000,reduced_lighting,8,1,success,,delivery,757,-21.38,1
clean-seed2000,clean,2000,reduced_lighting,9,1,success,,delivery,598,-22.39,1
clean-seed2000,clean,2000,reduced_lighting,10,1,success,,delivery,607,-24.29,1
clean-seed2000,clean,2000,reduced_lighting,11,0,contact_no_grasp,,drop,378,12.11,1
clean-seed2000,clean,2000,reduced_lighting,12,1,success,,delivery,369,-23.04,1
clean-seed2000,clean,2000,reduced_lighting,14,1,success,,delivery,496,-21.83,1
clean-seed2000,clean,2000,reduced_lighting,15,1,success,,delivery,456,-23.31,1
clean,clean,1000,different_object,1,1,success,,delivery,512,-20.75,1
clean,clean,1000,different_object,2,1,success,,delivery,961,-19.73,1
clean,clean,1000,different_object,3,1,success,,delivery,582,-22.41,1
clean,clean,1000,different_object,4,1,success,,delivery,496,-24.11,1
clean,clean,1000,different_object,5,1,success,,delivery,545,-23.95,1
clean,clean,1000,different_object,6,1,success,,delivery,407,-22.45,1
clean,clean,1000,different_object,7,1,success,,delivery,599,-22.89,1
clean,clean,1000,different_object,8,1,success,,delivery,452,-23.3,1
clean,clean,1000,different_object,9,1,success,,delivery,302,-22.61,1
clean,clean,1000,different_object,10,1,success,,delivery,1014,-21.43,1
clean,clean,1000,different_object,11,1,success,,delivery,311,-23.3,1
clean,clean,1000,different_object,12,1,success,,delivery,533,-21.88,1
clean,clean,1000,different_object,13,1,success,,delivery,317,-22.35,1
clean,clean,1000,different_object,14,1,success,,delivery,323,-23.93,1
clean,clean,1000,different_object,15,1,success,,delivery,626,-20.38,1
clean,clean,1000,distractors,1,1,success,,delivery,316,-22.46,1
clean,clean,1000,distractors,2,1,success,,delivery,310,-23.61,1
clean,clean,1000,distractors,3,1,success,,delivery,496,-24.53,1
clean,clean,1000,distractors,4,1,success,,delivery,314,-22.13,1
clean,clean,1000,distractors,5,1,success,,delivery,346,-23.75,1
clean,clean,1000,distractors,6,1,success,,delivery,723,-23.03,1
clean,clean,1000,distractors,7,1,success,,delivery,515,-23.86,1
clean,clean,1000,distractors,9,1,success,,delivery,384,-23.57,1
clean,clean,1000,distractors,11,1,success,,delivery,304,-23.12,1
clean,clean,1000,distractors,12,1,success,,delivery,334,-24.32,1
clean,clean,1000,distractors,13,1,success,,delivery,448,-24.17,1
