cell,episode,frame,success,instance,released,pan,lift,elbow,wrist_flex,wrist_roll,group,grasp_x,grasp_y
in_distribution,1,318,1,-,False,19.3,17.88,-2.01,61.18,26.23,in_distribution,14.77,8.89
in_distribution,2,205,1,-,True,21.37,17.93,-2.91,64.06,28.0,in_distribution,15.09,8.8
in_distribution,3,311,0,-,True,15.08,11.48,7.45,57.34,28.75,in_distribution,14.09,8.19
in_distribution,4,245,1,-,True,21.56,25.38,-7.66,64.87,27.74,in_distribution,15.97,8.61
in_distribution,5,233,0,-,True,20.08,25.04,-14.64,65.67,24.09,in_distribution,14.77,10.17
in_distribution,6,414,0,-,True,10.97,53.95,-58.68,50.05,17.04,in_distribution,12.72,17.2
in_distribution,7,259,0,-,True,16.63,25.74,-10.65,65.76,25.14,in_distribution,14.99,9.17
in_distribution,8,236,1,-,False,18.71,22.51,-10.43,67.17,21.16,in_distribution,14.64,9.44
in_distribution,9,226,0,-,True,21.65,16.28,1.3,63.69,25.03,in_distribution,15.27,8.11
in_distribution,10,220,1,-,True,21.09,14.35,6.95,55.17,29.02,in_distribution,15.29,8.01
in_distribution,11,310,1,-,True,21.76,18.99,0.15,61.13,21.39,in_distribution,15.48,8.16
in_distribution,12,235,1,-,True,21.77,18.15,-6.2,65.55,26.47,in_distribution,14.79,9.35
in_distribution,13,249,1,-,False,21.54,19.21,-4.57,66.34,27.22,in_distribution,15.22,8.74
in_distribution,14,346,0,-,True,9.85,19.61,-8.12,58.34,20.03,in_distribution,12.83,10.33
in_distribution,15,218,1,-,True,21.56,14.81,2.49,58.96,28.0,in_distribution,15.0,8.57
distractors,1,637,0,-,True,-6.58,55.17,-55.54,46.84,-3.51,distractors,10.49,16.58
distractors,2,229,0,-,True,11.23,18.95,-9.45,61.32,19.4,distractors,12.82,10.42
distractors,3,524,0,-,True,-0.4,51.8,-54.12,45.74,1.17,distractors,10.89,16.89
distractors,4,256,0,-,True,1.68,45.28,-45.84,58.93,-1.3,distractors,11.45,14.68
distractors,5,342,0,-,True,2.52,32.97,-31.59,49.14,9.2,distractors,10.84,14.45
distractors,6,545,0,-,True,2.49,58.56,-64.04,62.61,2.35,distractors,12.01,16.38
distractors,7,230,0,-,True,11.56,28.8,-20.63,63.37,14.57,distractors,13.31,11.16
distractors,8,394,0,-,True,5.0,52.73,-54.29,50.79,5.0,distractors,12.04,16.26
distractors,9,473,0,-,True,5.39,40.56,-31.69,46.18,2.92,distractors,12.42,13.47
distractors,10,195,0,-,True,14.92,21.35,-8.68,63.69,18.88,distractors,13.96,9.59
distractors,11,472,0,-,True,-3.55,59.08,-67.92,54.02,-12.79,distractors,10.16,17.96
distractors,12,354,0,-,True,-1.52,51.21,-54.41,51.75,6.1,distractors,10.94,16.5
distractors,13,360,0,-,True,1.43,51.51,-53.07,55.41,-5.64,distractors,11.46,15.65
distractors,14,380,0,-,True,5.4,51.04,-48.02,50.07,3.52,distractors,12.51,15.15
distractors,15,373,0,-,True,3.46,54.25,-56.45,52.94,1.62,distractors,11.87,16.28
spot_check,1,230,1,T1,True,-79.17,14.08,-0.67,69.62,13.17,spot_check:T1,1.32,9.13
spot_check,2,245,0,T1,True,-79.31,12.62,4.24,73.67,15.07,spot_check:T1,1.85,7.85
spot_check,3,210,1,T3,True,-14.04,44.34,-22.93,28.06,-9.05,spot_check:T3,10.73,12.73
spot_check,4,214,1,T3,False,-14.91,49.75,-49.0,45.11,-12.5,spot_check:T3,8.94,16.12
spot_check,5,260,1,T10,True,42.38,42.27,-37.18,60.76,37.59,spot_check:T10,18.21,12.98
spot_check,6,267,1,T10,True,42.2,38.81,-34.27,64.44,43.76,spot_check:T10,18.17,12.56
new_positions,1,215,0,E1,True,-21.77,-6.3,8.78,76.61,35.52,new_positions:E1,6.91,9.21
new_positions,2,353,0,E1,True,-0.09,49.75,-59.68,64.02,6.94,new_positions:E1,10.68,16.72
new_positions,3,641,0,E1,True,-13.61,48.96,-56.13,52.49,-6.48,new_positions:E1,8.46,17.18
new_positions,4,393,0,E1,True,-20.87,40.0,-49.56,64.62,-0.4,new_positions:E1,7.24,16.02
new_positions,5,672,0,E1,True,-82.97,14.69,-1.02,71.78,17.07,new_positions:E1,1.06,8.97
new_positions,6,192,0,E2,True,-84.47,-2.09,8.37,78.47,18.76,new_positions:E2,-0.86,8.86
new_positions,7,324,0,E2,True,-87.32,16.22,-4.15,74.6,10.54,new_positions:E2,0.36,9.14
new_positions,8,196,0,E2,True,-72.88,5.76,-5.22,74.97,11.01,new_positions:E2,0.14,10.89
new_positions,9,174,0,E2,True,-86.08,8.6,-0.12,77.27,14.16,new_positions:E2,-0.25,9.19
new_positions,10,281,0,E2,True,-87.36,12.01,1.67,73.04,11.17,new_positions:E2,0.24,8.64
new_positions,11,332,0,E3,True,-11.05,33.03,-30.73,55.29,0.53,new_positions:E3,9.24,13.68
new_positions,12,412,0,E3,True,-13.65,53.62,-49.06,38.02,-24.91,new_positions:E3,9.3,16.09
new_positions,13,281,0,E3,True,-13.06,30.94,-22.76,60.66,1.44,new_positions:E3,9.83,11.68
new_positions,14,229,0,E3,True,-5.98,20.67,-8.3,50.28,14.24,new_positions:E3,10.49,11.09
new_positions,15,267,0,E3,True,4.3,35.31,-28.86,48.26,9.89,new_positions:E3,11.85,13.53
new_positions,16,470,0,E4,True,45.02,53.93,-51.28,53.11,-32.43,new_positions:E4,17.24,14.45
new_positions,17,402,0,E4,True,43.35,51.87,-49.46,54.21,6.88,new_positions:E4,17.72,14.62
new_positions,18,344,0,E4,True,44.22,58.61,-74.89,65.96,-35.4,new_positions:E4,15.47,17.81
new_positions,19,554,0,E4,True,8.6,69.37,-79.13,57.02,-32.8,new_positions:E4,12.01,18.29
new_positions,20,129,0,E4,True,54.4,16.92,-21.72,74.29,-31.37,new_positions:E4,16.02,11.42
new_positions,21,300,0,E5,True,17.88,45.78,-48.01,56.68,21.13,new_positions:E5,13.77,15.38
new_positions,22,367,0,E5,True,14.87,51.17,-58.57,53.17,16.83,new_positions:E5,12.83,17.27
new_positions,23,291,0,E5,True,20.38,54.34,-54.15,55.18,18.97,new_positions:E5,14.86,15.52
new_positions,24,337,0,E5,True,28.05,56.17,-51.7,53.1,18.01,new_positions:E5,16.43,14.8
new_positions,25,202,0,E5,True,21.75,32.27,-29.76,57.42,22.88,new_positions:E5,14.09,13.27
