cell,episode,frame,success,instance,released,pan,lift,elbow,wrist_flex,wrist_roll,group,grasp_x,grasp_y
in_distribution,1,159,1,-,True,20.47,16.97,1.72,57.81,22.03,in_distribution,15.0,8.47
in_distribution,2,189,1,-,True,21.16,15.05,5.06,56.59,29.86,in_distribution,15.26,8.2
in_distribution,3,178,0,-,True,22.91,14.79,9.31,54.23,29.03,in_distribution,15.88,7.48
in_distribution,4,178,1,-,True,21.24,14.92,1.34,59.97,22.46,in_distribution,14.76,8.67
in_distribution,5,171,1,-,True,23.05,16.11,3.12,56.09,27.91,in_distribution,15.41,8.49
in_distribution,6,184,1,-,True,23.56,18.26,-1.02,60.09,25.76,in_distribution,15.48,8.67
in_distribution,7,159,1,-,True,21.81,18.87,0.56,55.53,24.84,in_distribution,15.36,8.67
in_distribution,8,178,1,-,False,21.2,16.8,1.73,57.27,26.75,in_distribution,15.14,8.59
in_distribution,9,202,1,-,True,20.15,18.48,5.4,53.27,25.11,in_distribution,15.6,7.87
in_distribution,10,194,1,-,True,22.87,19.72,1.97,58.84,25.84,in_distribution,16.0,7.89
in_distribution,11,161,1,-,True,21.77,20.77,-1.75,60.01,25.99,in_distribution,15.63,8.46
in_distribution,12,187,1,-,True,22.19,15.78,4.9,57.6,24.63,in_distribution,15.45,7.96
in_distribution,13,153,1,-,True,24.4,20.16,-3.42,60.47,28.17,in_distribution,15.71,8.89
in_distribution,14,385,0,-,True,14.28,25.51,-15.79,63.68,16.46,in_distribution,13.71,10.54
in_distribution,15,176,1,-,True,24.23,16.05,7.56,53.47,30.05,in_distribution,16.06,7.75
distractors,1,165,1,-,True,21.74,18.67,-2.01,60.03,23.34,distractors,15.14,8.83
distractors,2,235,0,-,True,19.4,24.47,-10.29,61.85,20.39,distractors,14.9,9.61
distractors,3,532,0,-,True,6.77,50.15,-46.36,50.91,4.89,distractors,12.8,14.83
distractors,4,187,0,-,True,21.69,21.09,-6.0,58.75,23.12,distractors,15.03,9.49
distractors,5,212,1,-,True,22.26,22.39,-9.35,63.41,24.65,distractors,15.14,9.59
distractors,6,239,0,-,True,16.77,22.12,-10.93,63.41,18.84,distractors,14.05,9.99
distractors,7,378,0,-,True,12.59,43.46,-36.51,54.23,14.21,distractors,13.86,13.34
distractors,8,192,0,-,True,22.29,18.91,-3.42,60.77,22.21,distractors,15.08,9.03
distractors,9,570,0,-,True,8.48,52.68,-58.87,51.28,5.71,distractors,11.94,17.24
distractors,10,187,0,-,True,15.5,16.77,1.23,59.52,20.47,distractors,14.28,8.48
distractors,11,166,0,-,False,21.86,22.28,-5.66,61.73,24.02,distractors,15.46,8.93
distractors,12,191,1,-,True,21.87,18.23,1.63,56.84,25.08,distractors,15.44,8.4
distractors,13,241,0,-,True,19.66,20.25,-11.31,65.28,21.34,distractors,14.15,10.19
distractors,14,182,1,-,False,18.79,20.59,0.58,57.73,25.36,distractors,15.4,8.21
distractors,15,572,0,-,True,10.71,53.4,-58.75,52.88,6.56,distractors,12.47,16.93
spot_check,1,542,1,T1,True,-81.75,14.66,3.88,69.55,14.98,spot_check:T1,1.71,8.04
spot_check,2,272,1,T1,True,-79.5,8.06,9.23,62.22,13.06,spot_check:T1,1.09,8.56
spot_check,3,225,1,T3,True,-9.33,38.01,-19.89,26.8,-9.45,spot_check:T3,10.46,13.13
spot_check,4,244,1,T3,True,-12.46,42.67,-25.24,29.04,-10.49,spot_check:T3,10.33,13.41
spot_check,5,234,0,T10,True,42.2,34.17,-23.61,56.9,37.37,spot_check:T10,18.21,11.55
spot_check,6,290,0,T10,True,37.97,37.55,-25.81,57.25,33.13,spot_check:T10,17.95,11.48
new_positions,1,269,0,E1,True,-34.75,-0.14,16.23,57.78,-24.73,new_positions:E1,5.33,7.97
new_positions,2,389,0,E1,True,-31.93,-2.99,22.55,47.54,-24.49,new_positions:E1,5.56,7.98
new_positions,3,411,0,E1,True,-33.22,-3.57,18.31,43.01,-17.17,new_positions:E1,4.7,9.57
new_positions,5,324,0,E1,True,-24.99,4.56,-2.29,59.34,-4.03,new_positions:E1,5.64,11.4
new_positions,6,163,0,E2,True,-65.23,4.99,-5.99,81.86,3.91,new_positions:E2,1.03,10.37
new_positions,7,318,0,E2,True,-76.8,8.82,-6.9,78.99,17.48,new_positions:E2,0.29,10.48
new_positions,12,528,0,E3,True,-8.7,46.29,-36.78,37.03,-5.68,new_positions:E3,10.47,14.68
new_positions,13,764,0,E3,True,-7.02,39.11,-34.32,39.65,-8.99,new_positions:E3,9.66,14.96
