cell,episode,frame,success,instance,released,pan,lift,elbow,wrist_flex,wrist_roll,group,grasp_x,grasp_y
in_distribution,1,405,1,-,True,23.52,22.93,-7.17,63.79,25.05,in_distribution,15.72,8.96
in_distribution,2,501,1,-,True,22.55,22.47,-4.79,61.81,25.28,in_distribution,15.73,8.69
in_distribution,3,180,1,-,True,23.72,20.49,-2.99,61.37,28.81,in_distribution,15.79,8.66
in_distribution,4,301,1,-,True,23.73,21.21,-1.51,59.33,25.46,in_distribution,15.97,8.38
in_distribution,5,232,1,-,True,22.2,21.23,-5.95,64.37,25.11,in_distribution,15.4,8.91
in_distribution,6,255,1,-,True,23.02,15.47,9.02,48.89,27.87,in_distribution,15.75,7.96
in_distribution,7,356,1,-,True,22.17,18.9,-0.64,61.99,26.97,in_distribution,15.57,8.32
in_distribution,8,349,1,-,True,22.86,19.73,1.45,58.01,26.94,in_distribution,15.92,8.1
in_distribution,9,178,1,-,True,23.14,22.34,-7.55,62.61,29.67,in_distribution,15.55,9.3
in_distribution,10,317,1,-,True,21.74,22.0,-3.84,62.61,22.45,in_distribution,15.63,8.45
in_distribution,11,199,1,-,True,23.24,16.94,4.18,56.09,25.66,in_distribution,15.68,8.09
in_distribution,12,224,1,-,True,23.54,14.67,8.78,51.39,29.7,in_distribution,15.77,7.9
in_distribution,13,349,1,-,True,22.74,26.42,-10.68,67.41,24.84,in_distribution,15.98,8.85
in_distribution,14,276,1,-,True,23.3,16.83,7.71,49.3,30.36,in_distribution,15.94,8.02
in_distribution,15,286,1,-,True,23.05,19.14,0.12,58.85,22.87,in_distribution,15.61,8.37
distractors,1,226,1,-,True,20.14,26.41,-15.71,70.03,18.33,distractors,14.96,9.71
distractors,2,319,1,-,True,21.17,18.0,0.52,58.67,22.61,distractors,15.19,8.5
distractors,3,284,1,-,True,22.63,22.34,-5.9,63.04,16.35,distractors,15.44,8.77
distractors,4,190,1,-,True,21.23,12.1,8.02,54.52,22.35,distractors,14.85,8.13
distractors,5,268,1,-,True,21.54,26.8,-14.34,70.49,17.7,distractors,15.4,9.27
distractors,6,211,1,-,True,21.73,25.65,-11.62,68.48,22.52,distractors,15.57,9.07
distractors,7,167,1,-,True,21.83,16.32,6.97,51.86,17.01,distractors,15.39,7.91
distractors,8,542,0,-,True,8.93,48.22,-42.23,51.63,11.08,distractors,13.4,14.16
distractors,9,636,0,-,True,6.64,58.11,-61.05,58.16,4.82,distractors,12.72,16.2
distractors,10,291,1,-,False,21.53,21.87,-6.04,62.41,21.69,distractors,15.27,8.99
distractors,11,187,1,-,True,21.18,19.97,-4.41,61.82,19.86,distractors,15.01,8.97
distractors,12,289,0,-,True,18.67,22.73,-5.51,57.65,13.55,distractors,14.77,9.16
distractors,13,276,1,-,False,21.29,18.69,2.4,54.61,18.56,distractors,15.33,8.32
distractors,14,379,1,-,True,21.27,26.68,-15.16,73.63,22.03,distractors,15.45,9.2
distractors,15,181,1,-,True,22.27,24.02,-8.42,63.34,19.92,distractors,15.48,9.08
spot_check,1,246,1,T1,False,-82.47,13.4,7.63,66.0,7.96,spot_check:T1,1.56,7.68
spot_check,2,251,1,T1,True,-82.5,7.79,13.35,62.44,8.28,spot_check:T1,1.08,7.63
spot_check,3,199,1,T3,False,-11.89,44.45,-34.81,34.76,-12.81,spot_check:T3,9.71,14.72
spot_check,4,230,1,T3,True,-11.53,45.19,-31.18,31.96,-10.07,spot_check:T3,10.3,14.07
spot_check,5,194,1,T10,True,42.91,48.62,-46.76,67.54,45.11,spot_check:T10,18.71,13.54
spot_check,6,206,1,T10,True,42.63,50.44,-48.48,68.93,47.2,spot_check:T10,18.9,13.53
new_positions,2,531,0,E1,True,-36.71,11.27,1.1,68.27,-34.55,new_positions:E1,5.55,8.49
new_positions,3,159,0,E1,True,20.12,19.29,-21.77,74.4,27.6,new_positions:E1,13.18,11.88
new_positions,4,380,0,E1,True,-36.7,5.69,6.21,71.3,-36.51,new_positions:E1,5.22,7.9
new_positions,5,367,0,E1,True,-35.46,15.85,-4.35,61.39,-44.11,new_positions:E1,5.43,9.6
new_positions,6,884,0,E2,True,-83.61,19.74,-6.6,72.18,10.5,new_positions:E2,1.11,9.34
