policy,budget,max_diff_vs_pool,max_diff_vs_subset
density5_s1000,5,8.482657989361542e-07,1.5533876419067383
density5_s2000,5,8.482657989361542e-07,1.5533876419067383
density10_s1000,10,8.482657989361542e-07,1.0372076034545898
density10_s2000,10,8.482657989361542e-07,1.0372076034545898
density25_s1000,25,8.482657989361542e-07,0.6698856353759766
density25_s2000,25,8.482657989361542e-07,0.6698856353759766
density50_s1000,50,8.482657989361542e-07,0.2614898681640625
density50_s2000,50,8.482657989361542e-07,0.2614898681640625
density25_fixedstep,25,8.482657989361542e-07,0.6698856353759766
density50_fixedstep,50,8.482657989361542e-07,0.2614898681640625
