policy,cell,episode,success,failure_mode,notes,tail_med,tail_range
clean,different_object,1,1,success,,1.35,0.55
clean,different_object,2,1,success,"Bumped cup, almost missed, took a while to move",1.05,0.51
clean,different_object,3,1,success,,0.74,0.98
clean,different_object,4,1,success,,1.11,0.48
clean,different_object,5,1,success,,0.91,0.61
clean,different_object,6,1,success,,1.06,0.88
clean,different_object,7,1,success,,1.28,1.05
clean,different_object,8,1,success,,1.15,0.33
clean,different_object,9,1,success,,1.26,0.69
clean,different_object,10,1,success,,1.09,0.74
clean,different_object,11,1,success,,1.3,0.48
clean,different_object,12,1,success,,0.94,0.26
clean,different_object,13,1,success,,1.39,0.75
clean,different_object,14,1,success,,1.03,0.78
clean,different_object,15,1,success,,1.46,0.57
clean,distractors,1,1,success,,1.72,0.69
clean,distractors,2,1,success,,1.92,0.56
clean,distractors,3,1,success,,2.12,0.88
clean,distractors,4,1,success,,2.71,1.12
clean,distractors,5,1,success,,1.7,0.68
clean,distractors,6,1,success,,2.32,0.94
clean,distractors,7,1,success,,1.27,0.52
clean,distractors,8,0,cube_out_of_bounds,,3.2,7.23
clean,distractors,9,1,success,,1.27,0.87
clean,distractors,10,0,contact_no_grasp,Moved cube out of position and did not recover,18.89,1.68
clean,distractors,11,1,success,,1.65,0.98
clean,distractors,12,1,success,,1.45,0.78
clean,distractors,13,1,success,,1.76,0.35
clean,distractors,14,1,success,,1.94,0.7
clean,distractors,15,1,success,,1.35,0.47
clean,in_distribution,1,1,success,,1.43,0.64
clean,in_distribution,2,1,success,,1.5,0.58
clean,in_distribution,3,1,success,,1.89,0.42
clean,in_distribution,4,1,success,,1.56,0.95
clean,in_distribution,5,1,success,,1.64,0.56
clean,in_distribution,6,1,success,,1.5,0.59
clean,in_distribution,7,1,success,,1.46,0.81
clean,in_distribution,8,1,success,,1.32,0.65
clean,in_distribution,9,1,success_after_recovery,Missed cube but came back and got it,1.53,0.74
clean,in_distribution,10,1,success,,1.45,0.48
clean,in_distribution,11,1,success,,1.58,0.56
clean,in_distribution,12,1,success,,1.35,0.6
clean,in_distribution,13,1,success,,1.09,0.61
clean,in_distribution,14,1,success,,1.23,0.67
clean,in_distribution,15,1,success,,1.4,0.5
clean,near_1in,1,0,contact_no_grasp,,29.13,0.94
clean,near_1in,2,0,contact_no_grasp,,11.35,21.87
clean,near_1in,3,0,contact_no_grasp,,10.26,15.54
clean,near_1in,4,0,contact_no_grasp,,20.26,2.35
clean,near_1in,5,0,timeout_other,"took  40 seconds to move, ran out of time before getting to cube",1.13,7.66
clean,near_1in,6,0,contact_no_grasp,,2.09,1.99
clean,near_1in,7,0,no_departure,,0.94,0.45
clean,near_1in,8,0,contact_no_grasp,,19.94,1.01
clean,near_2in,1,0,no_departure,,1.17,0.67
clean,near_2in,2,0,timeout_other,went to t6,26.78,0.71
clean,near_2in,3,0,timeout_other,went to t6,3.23,11.05
clean,near_2in,4,0,timeout_other,went to t6,1.68,1.29
clean,near_2in,5,0,timeout_other,went to t6,1.14,0.79
clean,near_2in,6,0,timeout_other,went to t6,21.15,3.89
clean,near_2in,7,0,timeout_other,went to t6,1.58,1.66
clean,near_2in,8,0,timeout_other,went to t6,24.26,0.95
clean,new_positions,1,0,timeout_other,,17.54,1.64
clean,new_positions,2,0,timeout_other,,18.91,2.04
clean,new_positions,3,0,timeout_other,,12.83,1.77
clean,new_positions,4,0,no_departure,,0.83,0.67
clean,new_positions,5,0,timeout_other,,16.05,1.91
clean,new_positions,6,0,no_departure,,0.93,0.84
clean,new_positions,7,0,timeout_other,,17.53,1.12
clean,new_positions,8,0,timeout_other,,15.65,0.91
clean,new_positions,9,0,timeout_other,Moved at the very end,1.28,0.45
clean,new_positions,10,0,timeout_other,,26.26,1.54
clean,new_positions,11,0,timeout_other,,23.42,0.7
clean,new_positions,12,0,timeout_other,,1.22,1.32
clean,new_positions,13,0,timeout_other,,17.55,1.53
clean,new_positions,14,0,timeout_other,,16.15,2.46
clean,new_positions,15,0,timeout_other,,10.71,2.27
clean,reduced_lighting,1,1,success,,1.61,0.46
clean,reduced_lighting,2,1,success,,1.55,0.3
clean,reduced_lighting,3,1,success,,1.26,0.6
clean,reduced_lighting,4,1,success,,1.09,0.7
clean,reduced_lighting,5,1,success,,1.95,0.4
clean,reduced_lighting,6,0,timeout_other,"Was slow to start, when it eventually moved ran out of time",24.52,2.16
clean,reduced_lighting,7,1,success,,1.34,0.6
clean,reduced_lighting,8,1,success,,1.66,0.55
