policy,episodes,samples,n_positions,chance_med_deg,probe_by_episode_deg,probe_by_episode_lo,probe_by_episode_hi,probe_by_position_deg,probe_by_position_lo,probe_by_position_hi,probe_mean_deg,control_tfe_med_steps,control_chance_steps
clean-seed2000,15,357,5,42.2,9.6,7.2,12.0,42.3,13.4,49.6,12.0,168.1,281.4
clean,15,342,5,42.1,10.4,7.4,14.8,38.9,12.2,48.2,14.4,188.3,289.1
color-seed2000,15,353,5,42.0,11.1,8.6,16.0,36.3,13.8,62.8,15.8,185.0,287.3
color,15,355,5,42.2,10.4,7.8,14.2,35.1,13.0,62.6,13.4,189.1,282.4
density10-seed2000,25,559,5,42.2,3.1,2.7,3.8,8.1,4.8,11.9,5.3,190.9,284.6
density10,25,574,5,42.3,4.8,3.6,5.9,17.0,11.6,28.6,7.3,162.4,287.7
density25-fixedstep,25,589,5,41.8,6.1,5.2,8.4,23.8,10.8,37.0,8.5,192.8,287.0
density25-seed2000,25,575,5,42.3,4.9,3.8,6.4,14.6,7.3,21.7,7.5,192.7,291.4
density25,25,582,5,42.0,3.6,2.9,4.4,16.8,10.5,21.8,5.5,210.0,287.9
density5-seed2000,25,577,5,42.1,4.5,3.8,5.4,18.9,6.9,41.9,6.7,155.0,285.4
density5,25,525,5,42.1,4.2,3.5,5.9,17.2,7.9,42.8,6.8,123.5,265.6
density50-fixedstep,25,589,5,41.9,6.4,5.1,8.2,18.0,8.3,41.2,9.0,160.9,287.9
density50-seed2000,25,564,5,42.5,7.9,6.0,10.2,27.6,10.6,38.9,12.7,209.6,280.2
density50,25,576,5,42.1,5.4,4.6,6.4,37.1,17.4,54.0,8.1,165.2,283.6
m15_density10-seed2000,15,339,5,42.1,2.8,2.3,4.4,5.3,2.9,8.7,4.6,174.5,284.0
m15_density10,15,345,5,42.2,5.1,4.3,6.9,16.1,10.9,28.5,9.1,179.3,287.3
m15_density25-fixedstep,15,354,5,41.8,5.8,4.8,8.9,22.2,8.1,37.1,9.7,219.3,287.3
m15_density25-seed2000,15,345,5,42.4,3.9,2.6,5.1,18.3,7.2,22.6,6.1,207.4,288.8
m15_density25,15,351,5,41.9,3.9,2.8,4.9,14.4,9.5,17.3,5.9,171.9,293.7
m15_density5-seed2000,15,347,5,42.0,4.9,3.8,6.4,17.6,6.7,45.4,7.0,164.6,280.7
m15_density5,15,315,5,42.2,4.7,3.4,6.6,22.9,11.3,38.5,7.3,140.4,261.9
m15_density50-fixedstep,15,354,5,42.1,6.4,4.5,9.5,19.3,9.0,33.3,8.9,181.9,287.0
m15_density50-seed2000,15,340,5,42.4,8.6,6.0,12.0,30.5,14.5,39.6,14.7,230.0,282.0
m15_density50,15,347,5,42.2,5.6,4.5,7.2,39.2,16.5,72.5,8.2,153.1,283.4
randomized-seed2000,15,358,5,42.4,8.8,6.3,15.0,26.5,15.8,42.4,13.7,207.9,279.1
randomized,15,349,5,42.4,8.6,6.9,10.5,36.6,10.8,48.1,10.9,219.1,291.1
recovery-seed2000,15,351,5,42.1,10.0,7.3,13.4,35.8,22.9,50.4,13.5,175.2,288.9
recovery,15,356,5,42.0,11.4,8.6,14.9,37.4,18.4,45.5,14.6,134.4,286.9
