condition,eval_cell,seed,episode,instance,success,flagged,failure_mode,regrasp,notes
density5,in_distribution,1000,1,-,1,,success,,"Failed grasp and moved towards E4, near top middle of the board"
density5,in_distribution,1000,2,-,1,,success,,
density5,in_distribution,1000,3,-,0,,contact_no_grasp,,
density5,in_distribution,1000,4,-,1,,success,,
density5,in_distribution,1000,5,-,1,,success,,
density5,in_distribution,1000,6,-,1,,success,,
density5,in_distribution,1000,7,-,1,,success,,
density5,in_distribution,1000,8,-,1,,success,,
density5,in_distribution,1000,9,-,1,,success,,
density5,in_distribution,1000,10,-,1,,success,,
density5,in_distribution,1000,11,-,1,,success,,
density5,in_distribution,1000,12,-,1,,success,,
density5,in_distribution,1000,13,-,1,,success,,
density5,in_distribution,1000,14,-,0,,timeout_other,,"Missed getting aligned, and then went to the top"
density5,in_distribution,1000,15,-,1,,success,,
density5,distractors,1000,1,-,1,,success,,"hit corner of cup with cube but got it in wihtout knocking over, it then didn't go back ot home, but was moving around as if tring to gtab something"
density5,distractors,1000,2,-,0,,contact_no_grasp,,missed and went towa
density5,distractors,1000,3,-,0,review,timeout_other,,believe it missed th cube entierely and went to the top 
density5,distractors,1000,4,-,0,,contact_no_grasp,,
density5,distractors,1000,5,-,1,,success,,took a few seconds to get back to prose position
density5,distractors,1000,6,-,0,,contact_no_grasp,,
density5,distractors,1000,7,-,0,,timeout_other,,didn't close on the cube
density5,distractors,1000,8,-,0,,grasp_drop,,bumped into cube but then dropped cube not on top of cup and couldn't recover
density5,distractors,1000,9,-,0,,timeout_other,,didn't make contact
density5,distractors,1000,10,-,0,,contact_no_grasp,,
density5,distractors,1000,11,-,0,"accidental key press, after failure happened",grasp_drop,,"Dropp[ed cube next to cup, accidentally ended episode early"
density5,distractors,1000,12,-,1,,success,,
density5,distractors,1000,13,-,0,,contact_no_grasp,,
density5,distractors,1000,14,-,1,,success,,
density5,distractors,1000,15,-,0,,timeout_other,,missed cube and went to the top of board
density5,spot_check,1000,1,T1,1,,success,,
density5,spot_check,1000,2,T1,1,,success,,
density5,spot_check,1000,3,T3,1,,success_after_missed_grasp,,
density5,spot_check,1000,4,T3,1,,success,,
density5,spot_check,1000,5,T10,0,,contact_no_grasp,,"failed grasp, then shifted left a bit"
density5,spot_check,1000,6,T10,0,,contact_no_grasp,,"failed grasp, then shifted left a bit"
density5,new_positions,1000,1,E1,0,,timeout_other,,went to t2 then center
density5,new_positions,1000,2,E1,0,,timeout_other,,went to t2 then center
density5,new_positions,1000,3,E1,0,,timeout_other,,went to t2 to t3 and bumped cup
density5,new_positions,1000,4,E1,0,,timeout_other,,went to t3 after hesitating
density5,new_positions,1000,5,E1,0,,timeout_other,,"started aim closer to cup moved to prose, then towards t3"
density5,new_positions,1000,6,E2,0,,timeout_other,,went to t1
